model,metric_score,feature_index
LogisticRegression,0.1833333333333333,14
MLPClassifier,0.0666666666666666,14
NearestCentroid,0.1333333333333333,14
RandomForestClassifier,0.1166666666666666,14
SVC,0.1666666666666666,14
AdaBoostClassifier,0.1666666666666666,15
BaggingClassifier,0.1666666666666666,15
DecisionTreeClassifier,0.1166666666666666,15
GradientBoostingClassifier,0.1,15
KNeighborsClassifier,0.1,15
LogisticRegression,0.15,15
MLPClassifier,0.0666666666666666,15
NearestCentroid,0.0833333333333333,15
RandomForestClassifier,0.1333333333333333,15
SVC,0.1666666666666666,15
AdaBoostClassifier,0.1833333333333333,16
BaggingClassifier,0.1666666666666666,16
DecisionTreeClassifier,0.15,16
GradientBoostingClassifier,0.05,16
KNeighborsClassifier,0.0833333333333333,16
LogisticRegression,0.1666666666666666,16
MLPClassifier,0.0666666666666666,16
NearestCentroid,0.1333333333333333,16
RandomForestClassifier,0.0666666666666666,16
SVC,0.1666666666666666,16
AdaBoostClassifier,0.1,17
BaggingClassifier,0.1,17
DecisionTreeClassifier,0.1,17
GradientBoostingClassifier,0.0833333333333333,17
KNeighborsClassifier,0.1,17
LogisticRegression,0.1166666666666666,17
MLPClassifier,0.0666666666666666,17
NearestCentroid,0.1,17
RandomForestClassifier,0.1166666666666666,17
SVC,0.1166666666666666,17
AdaBoostClassifier,0.1333333333333333,18
BaggingClassifier,0.1,18
DecisionTreeClassifier,0.1,18
GradientBoostingClassifier,0.0666666666666666,18
KNeighborsClassifier,0.0833333333333333,18
LogisticRegression,0.1166666666666666,18
MLPClassifier,0.0666666666666666,18
NearestCentroid,0.1,18
RandomForestClassifier,0.1,18
SVC,0.1166666666666666,18
AdaBoostClassifier,0.1666666666666666,19
BaggingClassifier,0.15,19
DecisionTreeClassifier,0.1166666666666666,19
GradientBoostingClassifier,0.05,19
KNeighborsClassifier,0.05,19
LogisticRegression,0.15,19
MLPClassifier,0.0666666666666666,19
NearestCentroid,0.0,19
RandomForestClassifier,0.1,19
SVC,0.1333333333333333,19
AdaBoostClassifier,0.1166666666666666,20
BaggingClassifier,0.1166666666666666,20
DecisionTreeClassifier,0.1166666666666666,20
GradientBoostingClassifier,0.1166666666666666,20
KNeighborsClassifier,0.0,20
LogisticRegression,0.1166666666666666,20
MLPClassifier,0.1166666666666666,20
RandomForestClassifier,0.1166666666666666,20
SVC,0.1166666666666666,20
AdaBoostClassifier,0.1166666666666666,21
BaggingClassifier,0.1166666666666666,21
DecisionTreeClassifier,0.1166666666666666,21
GradientBoostingClassifier,0.1166666666666666,21
KNeighborsClassifier,0.0,21
LogisticRegression,0.1166666666666666,21
MLPClassifier,0.1166666666666666,21
RandomForestClassifier,0.1166666666666666,21
SVC,0.11666666666666667,21
