TIPO_DE_CARREGAMENTO_ENTRADA,ARQUITETURA_ANSATZ,OTIMIZADOR,BASE_DE_DADOS,SAMPLE,METRICA_NAO_SUPERVISIONADA,INDICE_DIVISAO_BASE_DE_DADOS,ACURACIA_TREINAMENTO,ACURACIA_TESTE
True,0,AdamOptimizer,blobs_2classes_2features_50samples_no_noise,27,MSE,0.7,0.8428571428571429,0.9
True,0,AdamOptimizer,blobs_2classes_2features_50samples_no_noise,28,MSE,0.7,0.8142857142857143,0.8666666666666667
True,0,AdamOptimizer,blobs_2classes_2features_50samples_no_noise,29,MSE,0.7,0.8428571428571429,0.8666666666666667
True,0,AdamOptimizer,blobs_2classes_2features_500samples_high_noise,0,MSE,0.7,0.7471428571428571,0.7566666666666667
True,0,AdamOptimizer,blobs_2classes_2features_500samples_high_noise,1,MSE,0.7,0.7614285714285715,0.7533333333333333
True,0,AdamOptimizer,blobs_2classes_2features_500samples_high_noise,2,MSE,0.7,0.7614285714285715,0.7633333333333333
True,0,AdamOptimizer,blobs_2classes_2features_500samples_high_noise,3,MSE,0.7,0.7628571428571429,0.7666666666666667
True,0,AdamOptimizer,blobs_2classes_2features_500samples_high_noise,4,MSE,0.7,0.7642857142857142,0.7433333333333333
True,0,AdamOptimizer,blobs_2classes_2features_500samples_high_noise,5,MSE,0.7,0.7585714285714286,0.7633333333333333
True,0,AdamOptimizer,blobs_2classes_2features_500samples_high_noise,6,MSE,0.7,0.7628571428571429,0.7566666666666667
True,0,AdamOptimizer,blobs_2classes_2features_500samples_high_noise,7,MSE,0.7,0.7728571428571429,0.73
True,0,AdamOptimizer,blobs_2classes_2features_500samples_high_noise,8,MSE,0.7,0.7571428571428571,0.77
True,0,AdamOptimizer,blobs_2classes_2features_500samples_high_noise,9,MSE,0.7,0.75,0.7666666666666667
True,0,AdamOptimizer,blobs_2classes_2features_500samples_high_noise,10,MSE,0.7,0.76,0.7566666666666667
True,0,AdamOptimizer,blobs_2classes_2features_500samples_high_noise,11,MSE,0.7,0.7671428571428571,0.75
